Serial/Lot Number;Product;Ownership;Integration Source ID Account;Account;Location WM;Location;Warranty Start Date;Status;Región;Modelo 3
502105630;8005TIG03 - Alaris PK Plus MK4 Syringe Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2021-04-01;Installed;Barcelona;PK
502127124;8005TIG03 - Alaris PK Plus MK4 Syringe Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2022-12-06;Installed;Barcelona;PK
502127126;8005TIG03 - Alaris PK Plus MK4 Syringe Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2022-12-06;Installed;Barcelona;PK
502127127;8005TIG03 - Alaris PK Plus MK4 Syringe Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2022-12-06;Installed;Barcelona;PK
502127134;8005TIG03 - Alaris PK Plus MK4 Syringe Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2022-12-06;Installed;Barcelona;PK
135277523;9002MED01 - ALARIS GP PLUS;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2015-01-09;Installed;Barcelona;GP 
135277560;9002MED01 - ALARIS GP PLUS;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2015-01-09;Installed;Barcelona;GP 
135281384;9002MED01 - ALARIS GP PLUS;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2015-01-09;Installed;Barcelona;GP 
135281400;9002MED01 - ALARIS GP PLUS;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2015-01-09;Installed;Barcelona;GP 
135281405;9002MED01 - ALARIS GP PLUS;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2015-01-09;Installed;Barcelona;GP 
135281414;9002MED01 - ALARIS GP PLUS;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2015-01-09;Installed;Barcelona;GP 
135281415;9002MED01 - ALARIS GP PLUS;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2015-01-09;Installed;Barcelona;GP 
135281419;9002MED01 - ALARIS GP PLUS;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2015-01-09;Installed;Barcelona;GP 
470008664;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2016-07-08;Installed;Barcelona;GP 
470008700;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2016-07-08;Inactive;Barcelona;GP 
470008736;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2016-07-12;Installed;Barcelona;GP 
470008954;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2016-07-08;Installed;Barcelona;GP 
470009077;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2016-07-08;Inactive;Barcelona;GP 
470009285;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2016-07-08;Installed;Barcelona;GP 
470009398;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2016-07-08;Installed;Barcelona;GP 
470009407;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2016-07-08;Inactive;Barcelona;GP 
470009635;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2016-07-08;Inactive;Barcelona;GP 
470012220;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2016-12-16;Installed;Barcelona;GP 
470012450;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2016-12-16;Installed;Barcelona;GP 
470024051;9002TIG01-G - ALARIS GP Plus GUARDRAILS Pump;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2018-03-07;Installed;Barcelona;GP 
470031514;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2019-01-31;Installed;Barcelona;GP 
470038311;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2020-03-17;Inactive;Barcelona;GP 
470038474;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2020-03-17;Installed;Barcelona;GP 
470038562;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2020-03-17;Installed;Barcelona;GP 
470038568;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2020-03-17;Installed;Barcelona;GP 
470038583;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2020-03-17;Installed;Barcelona;GP 
470058310;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2020-12-16;Installed;Barcelona;GP 
470058325;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2020-12-16;Installed;Barcelona;GP 
470059940;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2020-12-18;Installed;Barcelona;GP 
470059947;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2020-12-18;Installed;Barcelona;GP 
470063547;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2021-05-25;Installed;Barcelona;GP 
470063553;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2021-05-25;Installed;Barcelona;GP 
470065755;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2021-07-19;Installed;Barcelona;GP 
470065764;9002TIG03-G - ALARIS GP PLUS GUARDRAILS PUMP;BD;150004144-001;BADALONA SERV ASSISTENCIALS SA;150004144-003;BADALONA SERV ASSISTENCIALS SA;2021-07-19;Installed;Barcelona;GP 
